"date","year","month_of_year","month","city","country","max_temp_c","min_temp_c","avg_temp_c"
2023-10-18,2023.0,October  ,10.0,Berlin,Germany,13.80,5.60,9.10
2023-10-23,2023.0,October  ,10.0,Berlin,Germany,15.20,8.60,11.80
2023-10-08,2023.0,October  ,10.0,Berlin,Germany,14.10,8.50,11.20
2023-10-21,2023.0,October  ,10.0,Berlin,Germany,16.20,7.00,10.80
2023-10-10,2023.0,October  ,10.0,Berlin,Germany,16.20,13.40,14.80
2023-10-25,2023.0,October  ,10.0,Berlin,Germany,14.00,10.20,11.80
2023-10-16,2023.0,October  ,10.0,Berlin,Germany,11.10,4.80,8.10
2023-10-28,2023.0,October  ,10.0,Berlin,Germany,13.40,9.40,10.80
2023-10-06,2023.0,October  ,10.0,Berlin,Germany,19.80,12.40,16.10
2023-10-27,2023.0,October  ,10.0,Berlin,Germany,11.80,9.20,10.30
2023-10-01,2023.0,October  ,10.0,Berlin,Germany,20.20,13.70,16.40
2023-10-12,2023.0,October  ,10.0,Berlin,Germany,19.40,13.00,14.60
2023-10-07,2023.0,October  ,10.0,Berlin,Germany,17.00,10.70,14.70
2023-10-31,2023.0,October  ,10.0,Berlin,Germany,12.40,9.20,11.40
2023-10-15,2023.0,October  ,10.0,Berlin,Germany,11.40,7.00,8.60
2023-10-20,2023.0,October  ,10.0,Berlin,Germany,7.70,6.20,6.70
2023-10-17,2023.0,October  ,10.0,Berlin,Germany,12.00,5.90,8.50
2023-10-02,2023.0,October  ,10.0,Berlin,Germany,25.10,16.10,20.20
2023-10-05,2023.0,October  ,10.0,Berlin,Germany,17.20,11.70,14.00
2023-10-26,2023.0,October  ,10.0,Berlin,Germany,12.60,9.90,11.10
2023-10-03,2023.0,October  ,10.0,Berlin,Germany,27.00,13.60,19.80
2023-10-30,2023.0,October  ,10.0,Berlin,Germany,14.00,10.00,12.20
2023-10-09,2023.0,October  ,10.0,Berlin,Germany,14.20,7.60,10.40
2023-10-29,2023.0,October  ,10.0,Berlin,Germany,14.20,8.50,11.20
2023-10-14,2023.0,October  ,10.0,Berlin,Germany,21.40,9.10,15.00
2023-10-11,2023.0,October  ,10.0,Berlin,Germany,22.90,14.40,18.50
2023-10-19,2023.0,October  ,10.0,Berlin,Germany,8.30,7.10,7.60
2023-11-11,2023.0,November ,11.0,Berlin,Germany,8.20,5.70,7.10
2023-11-13,2023.0,November ,11.0,Berlin,Germany,10.60,4.40,7.00
2023-11-24,2023.0,November ,11.0,Berlin,Germany,7.10,1.90,3.80
2023-11-07,2023.0,November ,11.0,Berlin,Germany,11.80,8.30,9.90
2023-11-03,2023.0,November ,11.0,Berlin,Germany,11.70,8.00,9.90
2023-11-18,2023.0,November ,11.0,Berlin,Germany,6.10,2.30,4.20
2023-11-10,2023.0,November ,11.0,Berlin,Germany,11.40,6.60,9.50
2023-11-30,2023.0,November ,11.0,Berlin,Germany,-0.90,-4.90,-3.60
2023-11-15,2023.0,November ,11.0,Berlin,Germany,9.70,5.40,7.30
2023-11-12,2023.0,November ,11.0,Berlin,Germany,8.50,4.60,6.50
2023-11-20,2023.0,November ,11.0,Berlin,Germany,10.10,8.50,9.20
2023-11-04,2023.0,November ,11.0,Berlin,Germany,11.70,6.50,8.80
2023-11-29,2023.0,November ,11.0,Berlin,Germany,0.40,-3.60,-1.50
2023-11-08,2023.0,November ,11.0,Berlin,Germany,10.70,7.80,9.10
2023-11-26,2023.0,November ,11.0,Berlin,Germany,2.00,-1.60,-0.10
2023-11-09,2023.0,November ,11.0,Berlin,Germany,11.20,7.30,9.00
2023-11-28,2023.0,November ,11.0,Berlin,Germany,0.40,-4.60,-1.30
2023-11-16,2023.0,November ,11.0,Berlin,Germany,8.30,5.70,7.10
2023-11-06,2023.0,November ,11.0,Berlin,Germany,11.70,9.80,10.70
2023-11-14,2023.0,November ,11.0,Berlin,Germany,11.30,9.40,10.50
2023-11-21,2023.0,November ,11.0,Berlin,Germany,8.40,1.70,5.00
2023-11-02,2023.0,November ,11.0,Berlin,Germany,14.90,8.90,12.00
2023-11-05,2023.0,November ,11.0,Berlin,Germany,11.40,8.00,9.80
2023-11-19,2023.0,November ,11.0,Berlin,Germany,10.60,4.40,7.70
2023-11-27,2023.0,November ,11.0,Berlin,Germany,1.50,-0.10,1.10
